Rank,Patent_Number,Title,Integrated_Score,Confidence,Technology_Theme,Scientific_Robustness,Manufacturing_Feasibility,Modernization_Potential,Strategic_Fit,NPV_Base,Recommendation_Tier,Red_Flags
47,3930652,Portable lawn playing checker apparatus,6.22,0.75,apparatus,7.0,5.5,6.0,5.8,186318.0,2,
48,3930289,Coupling device,6.22,0.75,apparatus,7.0,5.5,6.0,5.8,186318.0,2,
49,3930360,Alarm clock timer,6.19,0.75,control_systems,6.5,5.0,7.5,6.2,93159.0,2,
50,3930622,Energy storing safety belt retractor,6.19,0.75,materials,7.0,5.0,6.0,5.5,93159.0,2,
51,3930405,Method and means for measuring acoustic emissions,6.19,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
52,3932763,Detector for tubular transparent article,6.19,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
53,3931676,Portable power saw apparatus,6.15,0.75,apparatus,6.5,5.5,6.0,5.8,186318.0,2,
54,3930574,Apparatus for orienting and accumulating containers,6.15,0.75,apparatus,6.5,5.5,6.0,5.8,186318.0,2,
55,3930533,Continuous casting apparatus with flexible starting bar which is gear-rack supported in storage position,6.15,0.75,control_systems,6.5,5.5,6.0,5.8,186318.0,2,
56,3933081,Fluid control circuit for a radio controlled vehicle,6.15,0.75,control_systems,6.5,5.5,6.0,5.8,186318.0,2,
57,3935394,Network routing and control arrangement,6.14,0.75,control_systems,7.0,5.0,7.0,6.0,93159.0,2,
58,3930409,Horsepower computing network for chassis dynamometers,6.14,0.75,energy,5.0,6.0,7.0,6.5,93159.0,2,
59,3934099,"Bias, feedback and network arrangements for hybrid circuits",6.14,0.75,control_systems,7.0,5.0,7.0,6.0,93159.0,2,
60,3931736,Improved fluid flow sensor configuration,6.11,0.75,sensors,5.5,6.5,6.0,6.2,93159.0,2,
61,3935089,Oxygen sensor coated with catalytic material,6.11,0.75,sensors,5.5,6.5,6.0,6.2,93159.0,2,
62,3932718,Intrusion detector,6.11,0.75,sensors,5.5,6.5,6.0,6.2,93159.0,2,
63,3935466,Smoke detector adapted to a smoke sensing apparatus,6.11,0.75,sensors,5.5,6.5,6.0,6.2,93159.0,2,
64,3930669,Steerable trailer suspension system,6.11,0.75,materials,6.5,5.0,6.0,5.5,93159.0,2,
65,3931549,Control circuit for electromagnetic transducer,6.11,0.75,control_systems,5.0,5.0,7.5,6.2,93159.0,2,
66,3934132,Shift network for dual width operands,6.06,0.75,control_systems,6.5,5.0,7.0,6.0,93159.0,2,
67,3935384,Network for generating a CRT control signal for enhancing the edges of television images,6.06,0.75,control_systems,6.5,5.0,7.0,6.0,93159.0,2,
68,3931610,Capacitive keyswitch sensor and method,6.04,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
69,3930783,Primary control means for furnaces,6.04,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
70,3932813,Eddy current sensor,6.04,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
71,3930755,Air-pressure actuated slurry pump,6.04,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
72,3930629,Overheated journal bearing derailment prevention system,6.04,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
73,3934475,Capacitance type material level detector for hoppers,6.04,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
74,3930789,Device for preheating waste gases of an exhaust conduit,6.04,0.75,apparatus,7.0,5.0,6.0,5.5,93159.0,2,
75,3932821,Out of lock detector for phase lock loop synthesizer,6.04,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
76,3931739,Negative pressure detector,6.04,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
77,3931523,Activation neutron detector,6.04,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
78,3933039,Pulse flow detector,6.04,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
79,3935416,Inductor-workpiece position detector,6.04,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
80,3931607,Array transducer angular tracking system,6.04,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
81,3934145,Ionization smoke detector and alarm system,6.04,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
82,3935493,Radiation detector using double amplification,6.04,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
83,3935492,Ionization smoke detector,6.04,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
84,3932851,Aerosol detector,6.04,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
85,3933329,Support apparatus for a portable shower head,6.0,0.75,control_systems,5.5,5.5,6.0,5.8,186318.0,2,
86,3930485,Apparatus for mixing fuel and air for an internal combustion,6.0,0.75,apparatus,5.5,5.5,6.0,5.8,186318.0,2,
87,3930313,Drawing apparatus,6.0,0.75,apparatus,5.5,5.5,6.0,5.8,186318.0,2,
88,3930433,Automatic firearms with bolt assisted by an additional mass,5.96,0.75,enabling_technology,5.0,5.0,7.5,6.2,93159.0,2,
89,3930317,Electronic azimuth transfer method and system,5.96,0.75,process,5.0,5.0,7.5,6.2,93159.0,2,
90,3931576,Automatic gain control circuit for radio receiver,5.96,0.75,control_systems,5.0,5.0,7.5,6.2,93159.0,2,
91,3934302,"Portable, multi-purpose, rechargeable cigarette lighter",5.96,0.75,enabling_technology,5.5,5.0,6.0,5.5,93159.0,2,
92,3932262,Portable electrophoresis apparatus using minimum electrolyte,5.92,0.75,apparatus,5.0,5.5,6.0,5.8,186318.0,2,
93,3932856,"Portable, gravity-actuated alarm for use with a window or door",5.92,0.75,apparatus,5.0,5.5,6.0,5.8,186318.0,2,
94,3930682,Safety belt tension relieving apparatus,5.92,0.75,apparatus,5.0,5.5,6.0,5.8,186318.0,2,
95,3930800,Fluidized bed desubliming apparatus for recovery of aluminum chloride,5.92,0.75,control_systems,5.0,5.5,6.0,5.8,186318.0,2,
96,3930703,Central plug connection,5.92,0.75,materials,5.0,5.5,6.0,5.8,186318.0,2,
97,3934195,Portable electric capacitor tester using an LED indicator,5.92,0.75,apparatus,5.0,5.5,6.0,5.8,186318.0,2,
98,3932908,Portable scrubbing device,5.92,0.75,apparatus,5.0,5.5,6.0,5.8,186318.0,2,
99,3933164,Portable duck blind camp cot and back pack,5.92,0.75,apparatus,5.0,5.5,6.0,5.8,186318.0,2,
100,3930439,Device for wrapping sheets around food,5.92,0.75,apparatus,5.0,5.5,6.0,5.8,186318.0,2,Significant regulatory hurdles
101,3930475,Engine exhaust gas recirculating control,5.92,0.75,control_systems,5.0,5.5,6.0,5.8,186318.0,2,
102,3930554,Power-assisted steering gear,5.92,0.75,control_systems,5.0,5.5,6.0,5.8,186318.0,2,
103,3930389,Lock and support device for fuel tank,5.92,0.75,apparatus,5.0,5.5,6.0,5.8,186318.0,2,
104,3931641,Transducer suspension mount apparatus,5.92,0.75,apparatus,5.0,5.5,6.0,5.8,186318.0,2,
105,3930614,Device for spraying a traveling paper web or the like,5.92,0.75,apparatus,5.0,5.5,6.0,5.8,186318.0,2,
106,3930754,Portable water sampling apparatus,5.89,0.75,apparatus,7.0,5.0,6.0,5.5,93159.0,2,
107,3930761,Portable and manually operable peristaltic pump,5.89,0.75,enabling_technology,7.0,5.0,6.0,5.5,93159.0,2,
108,3934372,Portable upblast cleaning head,5.89,0.75,process,5.0,5.0,6.0,5.5,93159.0,2,
109,3930430,Photo-electric organ with chiff,5.89,0.75,enabling_technology,7.0,5.0,6.0,5.5,93159.0,2,
110,3930486,Convertible baseball and tennis practice machine,5.89,0.75,control_systems,7.0,5.0,6.0,5.5,93159.0,2,
111,3930495,Invalid exercising device,5.89,0.75,apparatus,7.0,5.0,6.0,5.5,93159.0,2,
112,3935398,Transducer with improved armature and yoke construction,5.89,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
113,3930547,Snow vehicle suspension system,5.89,0.75,control_systems,7.0,5.0,6.0,5.5,93159.0,2,
114,3930764,Air tool overspeed shutoff device,5.89,0.75,apparatus,7.0,5.0,6.0,5.5,93159.0,2,
115,3930728,Monochromator with concave grating,5.89,0.75,enabling_technology,7.0,5.0,6.0,5.5,93159.0,2,
116,3935484,Replaceable acoustic transducer assembly,5.89,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
117,3932834,Seismic transducer assembly for marshy terrains,5.89,0.75,materials,5.0,5.0,6.0,5.5,93159.0,2,
118,3931577,Radio receiver protection arrangement,5.89,0.75,wireless,5.0,5.0,6.0,5.5,93159.0,2,
119,3930873,Radio-photoluminescence dosimeter glass of low energy dependence and method of manufacturing same,5.89,0.75,process,5.0,5.0,6.0,5.5,93159.0,2,
120,3931469,Crossover network for a multi-element electrostatic loudspeaker system,5.84,0.75,enabling_technology,5.0,5.0,7.0,6.0,93159.0,2,
121,3930610,Method and apparatus for obtaining accurately the angle of attack of an aircraft,5.84,0.75,process,5.0,5.0,7.0,6.0,93159.0,2,
122,3933146,Portable single burner campstove,5.81,0.75,energy,6.5,5.0,6.0,5.5,93159.0,2,
123,3930667,Inflatable garment for crash protection,5.81,0.75,energy,6.5,5.0,6.0,5.5,93159.0,2,
124,3931725,Mobile machine for producing metal siding,5.81,0.75,enabling_technology,6.5,5.0,6.0,5.5,93159.0,2,
125,3930310,Stable power ring tool,5.81,0.75,energy,6.5,5.0,6.0,5.5,93159.0,2,
126,3930680,Modular structures for enclosing a vehicle load or passenger receiving space,5.81,0.75,enabling_technology,6.5,5.0,6.0,5.5,93159.0,2,
127,3930364,Bracelet primarily for a watch,5.81,0.75,enabling_technology,6.5,5.0,6.0,5.5,93159.0,2,
128,3930653,Lid latch mechanism for a disc record player,5.81,0.75,enabling_technology,6.5,5.0,6.0,5.5,93159.0,2,
129,3930670,Oscillation damping and stabilizing trailer hitch dolly,5.81,0.75,wireless,6.5,5.0,6.0,5.5,93159.0,2,
130,3930424,Multi-shell limited slip differential,5.81,0.75,enabling_technology,6.5,5.0,6.0,5.5,93159.0,2,
131,3930576,Combined packaging and display box,5.81,0.75,enabling_technology,6.5,5.0,6.0,5.5,93159.0,2,
132,3930274,Assembly for use in recreational activities,5.81,0.75,enabling_technology,6.5,5.0,6.0,5.5,93159.0,2,
133,3930321,Question and answer game,5.81,0.75,enabling_technology,6.5,5.0,6.0,5.5,93159.0,2,
134,3930413,Quick release gauge fitting,5.81,0.75,enabling_technology,6.5,5.0,6.0,5.5,93159.0,2,
135,3934152,Enclosure for confining radio-active products or waste,5.81,0.75,materials,5.5,5.0,6.0,5.5,93159.0,2,
136,3931743,Compact speed reduction mechanism for a uhf indicator dial,5.74,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
137,3930548,Motorized scaffold attachment,5.66,0.75,control_systems,5.5,5.0,6.0,5.5,93159.0,2,
138,3934344,Portable chain saw,5.66,0.75,materials,5.5,5.0,6.0,5.5,93159.0,2,
139,3931470,Tape marking and indicating device for remote control operation,5.66,0.75,control_systems,5.5,5.0,6.0,5.5,93159.0,2,
140,3930690,Agitator shaft seal,5.66,0.75,materials,5.5,5.0,6.0,5.5,93159.0,2,
141,3930339,"Window regulator, especially for automobiles, with a threaded cable moving in a guide",5.66,0.75,enabling_technology,5.5,5.0,6.0,5.5,93159.0,2,
142,3930448,Rocket-deployed balloon for position marker,5.66,0.75,enabling_technology,5.5,5.0,6.0,5.5,93159.0,2,
143,3931951,Mobile pallet for an installation for production of pre-fabricated elements of concrete,5.66,0.75,enabling_technology,5.5,5.0,6.0,5.5,93159.0,2,
144,3930303,Method for manufacturing compact thermoelectric modules,5.66,0.75,materials,5.5,5.0,6.0,5.5,93159.0,2,
145,3930765,Rotary displacement pumps,5.66,0.75,enabling_technology,5.5,5.0,6.0,5.5,93159.0,2,
146,3930768,Blow-head for tubular film,5.66,0.75,materials,5.5,5.0,6.0,5.5,93159.0,2,
147,3930543,Tractor attachment,5.66,0.75,enabling_technology,5.5,5.0,6.0,5.5,93159.0,2,
148,3935442,Photoflash lamp array having electrically connected reflector,5.66,0.75,enabling_technology,5.5,5.0,6.0,5.5,93159.0,2,
149,3930708,Flat cable wire-connector,5.66,0.75,enabling_technology,5.5,5.0,6.0,5.5,93159.0,2,
150,3930560,Damping element,5.66,0.75,materials,5.5,5.0,6.0,5.5,93159.0,2,
151,3930535,Apparatus for the preparation and dispensing of soft ice-cream,5.66,0.75,apparatus,5.5,5.0,6.0,5.5,93159.0,2,
152,3930815,Electrostatic apparatus for removing entrained particulate material from a gas stream,5.66,0.75,materials,5.5,5.0,6.0,5.5,93159.0,2,
153,3932714,Remote electrical transmission system,5.66,0.75,control_systems,5.5,5.0,6.0,5.5,93159.0,2,
154,3930785,Portable lighter,5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
155,3930701,Portable television cabinet surface extender,5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
156,3930345,Mobile home resilient frost heave compensators,5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
157,3930277,Mobile floor sweeper,5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
158,3930504,Portable light coagulator,5.59,0.75,process,5.0,5.0,6.0,5.5,93159.0,2,
159,3930358,Alarm clock timer,5.59,0.75,control_systems,5.0,5.0,6.0,5.5,93159.0,2,
160,3934373,Portable surface treating apparatus,5.59,0.75,materials,5.0,5.0,6.0,5.5,93159.0,2,
161,3930809,Assembly fixture for fixed point probe card,5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
162,3930742,Velocity probe for compressor surge control,5.59,0.75,process,5.0,5.0,6.0,5.5,93159.0,2,
163,3933275,Portable wine dispenser,5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
164,3930491,Combination fireplace and space heater,5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
165,3934277,Portable swimming pool construction,5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
166,3930893,Conductivity connected charge-coupled device fabrication process,5.59,0.75,process,5.0,5.0,6.0,5.5,93159.0,2,
167,3930741,Vibratory compactor attachment,5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
168,3930655,Seals for use between two relatively-rotating surfaces,5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
169,3930379,"Compensating and equalizing coupling for transmission of large torques, such as between the gear and the propellor of a ship",5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
170,3930542,Rotary harrows,5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
171,3930624,Aircraft,5.59,0.75,control_systems,5.0,5.0,6.0,5.5,93159.0,2,
172,3930420,Steering wheel assembly,5.59,0.75,materials,5.0,5.0,6.0,5.5,93159.0,2,
173,3930551,Electric drive for wheel chairs,5.59,0.75,control_systems,5.0,5.0,6.0,5.5,93159.0,2,
174,3930538,Wellpoint with adjustable valve,5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
175,3930705,Electrical connector assembly,5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
176,3930437,"Piston structure, particularly for hydraulic machines",5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
177,3930378,Axially-displaceable and angularly-movable universal coupling,5.59,0.75,wireless,5.0,5.0,6.0,5.5,93159.0,2,
178,3930472,Composite oil-cooled piston for an internal combustion engine,5.59,0.75,materials,5.0,5.0,6.0,5.5,93159.0,2,
179,3931719,Jewelry Component having mounted stones connected by deformable webs,5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
180,3930414,Method and apparatus for obtaining a representative sample of fluid flowing through a conduit,5.59,0.75,process,5.0,5.0,6.0,5.5,93159.0,2,
181,3930518,Valves,5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
182,3930618,Balanced sprinkler impact drive,5.59,0.75,enabling_technology,5.0,5.0,6.0,5.5,93159.0,2,
183,3934644,Remote engine water cooler,5.59,0.75,materials,5.0,5.0,6.0,5.5,93159.0,2,
184,3930600,Injection molding device with back pressure control of screw movement,5.59,0.75,materials,5.0,5.0,6.0,5.5,93159.0,2,
185,3930356,Method and apparatus for influencing the ambient conditions during open-end spinning,5.59,0.75,materials,5.0,5.0,6.0,5.5,93159.0,2,
186,3934646,Constant temperature cold-end corrosion probe,5.59,0.75,process,5.0,5.0,6.0,5.5,93159.0,2,
